name_datacenter,ano,classe,percentual,ano_operacional_referencia
Ascenty - Paulinia PLN1,2024,Solo exposto,25.6,2019
Ascenty - Paulinia PLN1,2024,Construção,30.91,2019
Ascenty - Paulinia PLN1,2025,Vegetação densa,6.06,2019
Ascenty - Paulinia PLN1,2025,Grama,35.86,2019
Ascenty - Paulinia PLN1,2025,Solo exposto,11.87,2019
Ascenty - Paulinia PLN1,2025,Construção,46.2,2019
Ascenty - Paulinia PLN1,2026,Vegetação densa,5.74,2019
Ascenty - Paulinia PLN1,2026,Grama,42.39,2019
Ascenty - Paulinia PLN1,2026,Solo exposto,11.12,2019
Ascenty - Paulinia PLN1,2026,Construção,40.75,2019
Equinix SP5x,2016,Vegetação densa,8.3,2022
Equinix SP5x,2016,Grama,44.26,2022
Equinix SP5x,2016,Solo exposto,3.78,2022
Equinix SP5x,2016,Construção,43.66,2022
Equinix SP5x,2017,Vegetação densa,11.52,2022
Equinix SP5x,2017,Grama,42.09,2022
Equinix SP5x,2017,Solo exposto,2.56,2022
Equinix SP5x,2017,Construção,43.84,2022
Equinix SP5x,2018,Vegetação densa,13.06,2022
Equinix SP5x,2018,Grama,34.63,2022
Equinix SP5x,2018,Solo exposto,1.79,2022
Equinix SP5x,2018,Construção,50.53,2022
Equinix SP5x,2019,Vegetação densa,17.44,2022
Equinix SP5x,2019,Grama,43.31,2022
Equinix SP5x,2019,Solo exposto,1.61,2022
Equinix SP5x,2019,Construção,37.64,2022
Equinix SP5x,2020,Vegetação densa,14.11,2022
Equinix SP5x,2020,Grama,32.25,2022
Equinix SP5x,2020,Solo exposto,5.04,2022
Equinix SP5x,2020,Construção,48.6,2022
Equinix SP5x,2021,Vegetação densa,12.85,2022
Equinix SP5x,2021,Grama,35.15,2022
Equinix SP5x,2021,Solo exposto,4.24,2022
Equinix SP5x,2021,Construção,47.76,2022
Equinix SP5x,2022,Vegetação densa,16.14,2022
Equinix SP5x,2022,Grama,33.33,2022
Equinix SP5x,2022,Solo exposto,2.03,2022
Equinix SP5x,2022,Construção,48.49,2022
Equinix SP5x,2023,Vegetação densa,16.81,2022
Equinix SP5x,2023,Grama,34.0,2022
Equinix SP5x,2023,Solo exposto,1.37,2022
Equinix SP5x,2023,Construção,47.83,2022
Equinix SP5x,2024,Vegetação densa,13.62,2022
Equinix SP5x,2024,Grama,31.83,2022
Equinix SP5x,2024,Solo exposto,1.61,2022
Equinix SP5x,2024,Construção,52.94,2022
Equinix SP5x,2025,Vegetação densa,18.84,2022
Equinix SP5x,2025,Grama,35.19,2022
Equinix SP5x,2025,Solo exposto,0.98,2022
Equinix SP5x,2025,Construção,44.99,2022
Equinix SP5x,2026,Vegetação densa,16.84,2022
